facility_id,jurisdiction_code,jurisdiction_facility_id,registered_business_name,facility_name,abn,acn,street_address,suburb,state,postcode,latitude,longitude,primary_anzsic_class_code,primary_anzsic_class_name,main_activities,facility_website,first_report_year,latest_report_year,latest_report_id,latest_report_url,reports
512822,QLD,Q064ILP004,"""GLENLEY""",Glenley,23315606573,,"""Glenley""",Mareeba,QLD,4880,-16.993611,145.371389,0192,Pig Farming,Pig Farming,,2003/2004,2016/2017,491388,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2017/jurisdiction-facility/Q064ILP004,5
516654,SA,SA0152,1847 WINERY (SA) PTY LTD,YALDARA ESTATE,96147157373,147157373,Hermann Thumm Drive,Lyndoch,SA,5351,-34.576046,138.875311,1214,Wine and Other Alcoholic Beverage Manufacturing,WINE MANUFACTURING,https://www.1847wines.com.au,2002/2003,2022/2023,551296,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/SA/year/2023/jurisdiction-facility/SA0152,20
545702,WA,WA0685,3 OCEANS WINE COMPANY PTY LTD,3 Oceans Wine Company,20130004321,,CNR BUSSELL HWY & BOUNDARY ROAD,Metricup,WA,6280,-33.814167,115.119444,1214,Wine and Other Alcoholic Beverage Manufacturing,WINEMAKING,http://www.3oceans.com.au,2003/2004,2022/2023,549930,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA0685,20
658102,NSW,1538,4 PINES BREWING COMPANY WHOLESALE PTY LTD,4 Pines Brewing Brookvale,40141244046,141244046,3B 9-13 Winbourne Road,Brookvale,NSW,2100,-33.764818,151.278415,1212,Beer Manufacturing,Manufacturing and packaging beer,https://4pinesbeer.com.au,2019/2020,2022/2023,547398,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2023/jurisdiction-facility/1538,4
511502,QLD,Q063AAG001,A A COMPANY PTY LTD,Goonoo Feedlot,86010317067,010317067,Goonoo Feedlot via Comet River Rd,Comet,QLD,4702,-23.757823,148.528012,0143,Beef Cattle Feedlots (Specialised),Beef cattle feedlot,http://www.aaco.com.au,2001/2002,2021/2022,542604,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2022/jurisdiction-facility/Q063AAG001,21
511488,QLD,Q063AAC001,A A COMPANY PTY LTD,Meteor Downs Feedlot,86010317067,010317067,Meteor Downs,Springsure,QLD,4722,-24.23,148.21,0143,Beef Cattle Feedlots (Specialised),Beef Cattle Feedlot and breeding station,,2001/2002,2010/2011,440502,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2011/jurisdiction-facility/Q063AAC001,10
512136,QLD,Q063LAP001,A C PENTECOST,Lake Lillerie,71973920471,,Cooyar Road,Oakey,QLD,4401,-27.389238,151.714615,0143,Beef Cattle Feedlots (Specialised),Beef Cattle Feedlot,,2003/2004,2012/2013,462158,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2013/jurisdiction-facility/Q063LAP001,9
561772,QLD,Q063WAR001,A J & V M THORNE,Warrigal Hills,64318120128,,"""Warrigal Hills""",Wandoan,QLD,4419,-25.950376,149.908313,0143,Beef Cattle Feedlots (Specialised),Beef cattle feedlot,,2008/2009,2022/2023,543620,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2023/jurisdiction-facility/Q063WAR001,10
512478,QLD,Q063WAB001,A L & A K BOSSE,Wahroonga,29070956722,070956722,Wahroonga M/S 222,Oakey,QLD,4401,-27.440556,151.654722,0143,Beef Cattle Feedlots (Specialised),Beef Cattle Feedlot,,2003/2004,2006/2007,379364,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2007/jurisdiction-facility/Q063WAB001,4
546228,WA,WA0756,A O'MEEHAN AND CO.,Daniel's Well,25328213778,,1164 O'Meehan Road,Borden,WA,6338,-34.223631,118.276988,0143,Beef Cattle Feedlots (Specialised),Cattle Feedlot,,2006/2007,2022/2023,543918,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA0756,17
526560,VIC,00004236,A T BUTLER P/L,Butler Campbellfield,46004471523,004471523,61 PAULSON RD,Campbellfield,VIC,3061,-37.679539,144.961186,2921,Waste Treatment and Disposal Services,Container reconditioning,,2003/2004,2003/2004,391252,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2004/jurisdiction-facility/00004236,1
513780,QLD,Q086ILB019,A.E. ASHCROFT,Ashville,59662535335,,123 Hein Road,Buccan,QLD,4207,-27.746667,153.139722,0171,Poultry Farming (Meat),Meat Chicken Facility,,2003/2004,2008/2009,419690,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2009/jurisdiction-facility/Q086ILB019,6
484106,NSW,1112,A.F HERBERT & T.M HERBERT & THE TRUSTEE FOR HERBERT FAMILY TRUST,Ladysmith Feedlot,33917285456,,Tywong Street,Ladysmith,NSW,2652,-35.208186,147.484564,0143,Beef Cattle Feedlots (Specialised),Beef feedlot,,2006/2007,2021/2022,541084,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2022/jurisdiction-facility/1112,14
562354,QLD,Q063CRA001,"A.G, V.L & J.A CRAWFORD",Glenvillan Feedlot,88914388754,,226 Mannuem Road,Kingaroy,QLD,4610,-26.593749,151.606204,0143,Beef Cattle Feedlots (Specialised),Feedlot,,2010/2011,2013/2014,470588,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2014/jurisdiction-facility/Q063CRA001,3
546204,WA,WA0751,A.J MELCHIORRE & C MELCHIORRE & J MELCHIORRE & K.J MELCHIORRE & R.D MELCHIORRE,MELCHIORRE FEEDLOT&#xd;,69621275416,,14 Mile Brook Road,Cuballing,WA,6311,-32.861111,117.014722,0143,Beef Cattle Feedlots (Specialised),Cattle Feedlot,,2004/2005,2004/2005,407776,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2005/jurisdiction-facility/WA0751,1
549268,VIC,00022863,A.J. BAXTER PROPRIETARY LIMITED,DEALS ROAD LANDFILL,62004476519,004476519,CNR DEALS RD & HEATHERTON RD,Clayton South,VIC,3169,-37.956586,145.119643,2921,Waste Treatment and Disposal Services,Landfill,http://www.cleanaway.com.au,2007/2008,2022/2023,551090,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2023/jurisdiction-facility/00022863,16
494660,NSW,836,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,A J Bush and Sons Riverstone,94000058453,000058453,1106 Windsor Road,Riverstone,NSW,2765,-33.66814,150.900607,1111,Meat Processing,Rendering of meat/poultry co-products to produce protein meals and fats/tallow,https://bushsproteins.com.au/,2002/2003,2022/2023,543148,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2023/jurisdiction-facility/836,21
507468,QLD,Q033AJB001,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,Bromelton Protein Recovery,94000058453,000058453,358 Sandy Creek Road,Bromelton,QLD,4285,-27.995392,152.923608,1111,Meat Processing,Manufacturing of protein meals and tallow/oil from animal by-products,http://www.ajbush.com.au/manufacturers,2001/2002,2017/2018,497906,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2018/jurisdiction-facility/Q033AJB001,17
494880,NSW,853,A.J. BUSH & SONS (YANCO) PTY LTD,A.J. Bush & Sons Yanco,43000420299,000420299,Cudgel Street,Yanco,NSW,2703,-34.598559,146.410702,1111,Meat Processing,Livestock slaughtering - boning and rendering plant,,2002/2003,2005/2006,364422,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2006/jurisdiction-facility/853,4
495832,NSW,930,A.J. EDGERTON & CO,Redlands Piggery Young,99360412437,,291 Rhodes Road,Young,NSW,2594,-34.376733,148.226971,0192,Pig Farming,Pig farming,,2003/2004,2010/2011,439206,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2011/jurisdiction-facility/930,8
514244,QLD,Q086ILE003,A.J. MCLEAN & CO,Main Farms,30372167209,,385 Felton Road,Pittsworth,QLD,4356,-27.777222,151.670556,0172,Poultry Farming (Eggs),Free range egg production and pullet rearing,,2004/2005,2011/2012,452976,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2012/jurisdiction-facility/Q086ILE003,8
552936,SA,SA0467,A.L GOSS & A.W GOSS & G.J TISS & J.M TISS,Finniss Park Piggery,60253196428,,Cnr Mannum Murray Bridge Road & Piggery Road,Mannum,SA,5238,-34.921618,139.262063,0192,Pig Farming,Piggery farrow to weaners,,2008/2009,2022/2023,548306,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/SA/year/2023/jurisdiction-facility/SA0467,15
587006,NSW,1332,A2 MILK COMPANY (AUSTRALIA) PTY LTD,The A2 Milk Company (Australia) Pty Ltd,52125331213,,28-34 Dunn Road,Smeaton Grange,NSW,2567,-34.031771,150.755874,1131,Milk and Cream Processing,Milk and cream processing,http://www.a2milk.com.au,2012/2013,2015/2016,480786,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2016/jurisdiction-facility/1332,4
674366,SA,SA0748,AAA ASPHALT PTY LTD,AAA Asphalt PTY LTD,56128469705,128469705,20 Scarborough Way,Lonsdale,SA,5160,-35.09999,138.50261,1709,Other Petroleum and Coal Product Manufacturing,Asphalt Plant,https://aaaasphalt.com.au/,2020/2021,2022/2023,543006,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/SA/year/2023/jurisdiction-facility/SA0748,3
544554,WA,WA0577,AAA EGG COMPANY PTY LTD,Geraldton Golden Eggs,63079437639,,Lot 1036 Geraldton-Mount Magnet Road,Moonyoonooka,WA,6532,-28.780278,114.751389,0172,Poultry Farming (Eggs),Hens for egg production.,,2002/2003,2011/2012,452528,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2012/jurisdiction-facility/WA0577,9
545400,WA,WA0655,ABAROO PTY LTD,ABAROO PTY LTD,70008999255,,65 Ashley Road,Hope Valley,WA,6165,-32.186111,115.818611,0171,Poultry Farming (Meat),Chicken raising for meat production.,,2002/2003,2007/2008,412576,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2008/jurisdiction-facility/WA0655,6
558538,QLD,Q063ABA001,ABARUE PTY LTD,Abarue Farm & Feedlot,27322166301,,-,Dirranbandi,QLD,4486,-28.836516,148.013319,0143,Beef Cattle Feedlots (Specialised),Irrigated Farming,,2008/2009,2012/2013,459148,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2013/jurisdiction-facility/Q063ABA001,5
